schema_name,table_name,column_name,dType,is_not_null,description,is_primary_key,not_null_perc,unique_perc,sample_values,semantic_class
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,client_type_id,smallint,False,Идентификатор типа клиента,False,100.0,93.5,,join_key
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,client_type_name,character varying,False,Наименование типа клиента,False,100.0,1.12,"Лица, осуществляющие деятельность, не отнесённую к предпринимательству|Войсковая часть|ПИФ|Избирательная комиссия / объединение / фонд (не являющиеся ЮЛ)|Индивидуальный предприниматель|Юридическое лицо|Территория|Холдинг (не являющийся ЮЛ)|Кандидат",enum_like
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,company_name,character varying,False,Наименование компании,False,100.0,1.5,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕКТР|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АВАНГАРД|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ГОРИЗОНТ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВЕКТОР|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФЕНИКС|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФОРТУНА|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПАРТНЕР|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПЕРСПЕКТИВА|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ОРИОН|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АЛЬЯНС|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОГРЕСС|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛИДЕР,enum_like
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,epk_create_dttm,timestamp without time zone,False,Дата создания карточки ЕПК,False,100.0,0.38,2026-05-19 04:01:00|2026-05-19 08:00:00|2026-05-19 03:00:00,date
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,epk_gosb_id,integer,False,Идентификатор ГОСБ из витрины данных ЕПК КБ,False,100.0,93.0,,join_key
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,epk_id,bigint,True,Идентификатор ЕПК,True,100.0,100.0,,join_key
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,gosb_id,integer,False,Идентификатор ГОСБ,False,100.0,3.62,,join_key
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,gosb_method_id,smallint,False,Идентификатор метода для заполнения поля gosb_id,False,100.0,91.88,,join_key
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,head_holding_epk_id,bigint,False,Идентификатор ЕПК головного холдинга,False,100.0,91.88,,join_key
s_grnplm_ld_salesntwrk_pcap_sn_uzp,uzp_data_epk_consolidation,head_holding_name,character varying,False,Наименование головного холдинга,False,100.0,1.5,ФСИН|КРАСНОЯРСКИЙ КРАЙ|АЛТАЙСКИЙ КРАЙ|ОРЕНБУРГСКАЯ ОБЛАСТЬ|РЕСПУБЛИКА ДАГЕСТАН|НИЖЕГОРОДСКАЯ ОБЛАСТЬ|РЕСПУБЛИКА ТАТАРСТАН|РЕСПУБЛИКА БАШКОРТОСТАН|РУССКАЯ ПРАВОСЛАВНАЯ ЦЕРКОВЬ|СВЕРДЛОВСКАЯ ОБЛАСТЬ|КРАСНОДАРСКИЙ КРАЙ|РОСТОВСКАЯ ОБЛАСТЬ,enum_like
